PAIS,ZPOBDENS,ZTMINFAN,ZESPVIDA,ZPOBURB,ZTMEDICO,ZPAGRICU,ZPSERVI,ZTLIBROP,ZTEJERCI,ZTPOBACT,ZTENERGI
polonia ,0.581316649426853,-0.24783758421327,1.15321565432808,0.51443382134902,1.42951186481487,0.489902932443914,-0.135332362172041,0.571573430722469,0.463185016365993,1.86222493415781,1.25427998245267
rdaleman,1.00499193115402,-0.484315138137563,1.2842090348743,1.33999444430228,2.12563979987218,-0.377382028163091,0.335825960335428,0.948441577882082,0.548558871309244,2.15256659020144,2.06719985904429
reinouni,1.7932972841965,-0.484315138137563,1.73665335026392,2.45961583847548,0.516118702858061,-0.73423365257952,1.71658159990593,2.50837556573354,0.010800161307415,1.35527940995062,1.19960067220521
rfaleman,1.9611099874723,-0.468892688968587,1.66520241542052,1.86608317253654,1.43912652967757,-0.59872037748467,1.10145823441007,3.25236042526288,0.392047710684889,0.960194994440817,1.55982476528653
rumania ,0.371032829889896,-0.042204928626928,0.986496806360162,0.051202582914135,0.987237281130519,0.494420041613742,-0.462525641691117,0.55946495283059,0.526115294023912,1.58311492992013,1.09174917961443
turquia ,-0.008099573807276,1.56944100953103,0.045726164255485,-0.146014677013589,-0.060761188904131,1.89020677509064,-0.67847320617371,-0.26872233617566,1.18707864507695,0.828787264017037,-0.240784297031044
urss    ,-0.474245971795603,-0.093613092523513,0.784052490970549,0.739169768708519,3.32171159422035,0.060777561310239,0.512510331275729,0.469072057656452,1.67613398154902,1.80446521570419,1.45562004846978
usa     ,-0.345796742127709,-0.471463097163416,1.72474486112335,1.22533324666988,1.18914524324729,-0.64840857835278,1.80819571817127,0.698061961105817,0.076864237080639,1.38671706346841,3.60959005387677
vietnam ,1.08993416367634,1.15817569835834,-0.299620020820916,-1.26969441381108,-0.50303577258848,2.7828834737338,-1.2477895125369,-0.425211413350268,2.77835265953615,1.2222117915967,-0.450661009921008
africasu,-1.50719143185631,0.461483865348197,-2.39985483667655,-0.714888573915775,-1.23382515643279,-1.1063554779734,-0.016331346216801,-1.07510397437112,-1.06042975449472,-1.28289704439017,-0.3718615366775
argelia ,-1.76671708805676,0.71338386844147,-1.39488793394544,-1.41526232255128,-1.38765979423604,-0.442340430008664,-0.4416826095916,-1.46961560679854,-0.703366977889071,-3.08409402803089,-1.0261359074022
argentin,-1.49185594683072,-0.818579415676781,-0.061137150202099,0.63811355814651,0.76602513500948,-1.25993718974756,0.284686470940749,-0.976367685294029,-0.983034423169397,-0.918908625981858,-0.87922197659967
australi,-1.82783406023745,-1.52030085286517,0.58192126338844,0.78029344321069,-0.003148054006778,-1.55806639495622,0.90635370202699,0.55949898111653,-1.11170369049387,0.124466722080388,0.68993245041343
brasil  ,-1.44938483056956,0.111908350851416,-0.823280455198294,-0.059026523458462,-0.810779902473848,-0.455891757518149,-0.389331684868548,-1.03207948360006,-1.46491390002257,-0.927264481379436,-1.22526156776861
canada  ,-1.57265465581536,-1.52801207744966,0.6295552199507,0.317062204775801,0.016081275718628,-1.60775459582433,1.12884513209996,1.07708363649688,-1.61586064318268,0.466009668267881,2.24978482165959
chile   ,-1.44524130703189,-0.967663090976879,-0.025411682780403,0.56473039166178,-1.54151314560901,-1.1063554779734,0.63151134723097,-1.19252676110785,-0.710440010563492,-1.2168669487176,-1.13345233228518
china   ,-0.522271439014998,-0.792875333728488,-0.227855998170017,-2.56924348685283,-1.55112781047171,1.40515722045105,-2.83521068993491,-1.44691538063362,-0.889658735300511,1.20447158267711,-1.29477786624091
coreasur,2.36162094320612,-0.972803907366537,-0.370757867856804,-0.545190001419827,-1.16652250239387,-0.108074351441381,-1.00445505036441,0.273564251923832,0.66013447071665,-0.674357276862013,-1.01051972594743
egipto  ,-1.16762523000773,0.98070632070371,-1.52588131449166,-1.10473664586593,-1.63764108066632,0.212640399616418,-0.95864799123174,-1.38590733609709,-0.257518242412636,-2.24621357487707,-1.47327121352574
espana  ,-0.826820419034038,-1.51001922008586,0.57001277424787,0.18405521552222,0.477585189128382,-0.997944857897527,-0.238822776289773,0.92826570814102,-0.397630407791443,-1.04331956296224,-0.66396931816017
filipina,0.071288307756805,-0.453581452011024,-1.04954174886904,-1.43954734295253,-1.60879708607821,0.488184058975935,-1.05680597508746,-1.68307433494411,-1.47408567193103,-0.935815672725945,-1.52196430825723
francia ,-0.552311984663134,-1.53829371022898,0.60573824166957,0.202401007143404,0.189145243247286,-1.80868999322,0.435195379519523,0.432921025799809,-0.52807324513673,-0.125511993892872,0.055881949744818
humgria ,-0.405216899075707,-1.19899982851151,-0.025411682780403,-0.701129230199887,0.96793309712625,-0.740469635217322,-1.08298143744899,1.29320159925469,-0.409571597956775,0.489561687090072,-0.159428818806106
india   ,0.57265465581536,1.13493081239347,-1.95458692355202,-2.43165004969395,-1.36843046451063,1.301263709545,-2.52764900718698,-1.70544573697019,-1.48628387169891,-0.691767204701519,-1.67243683068281
indonesi,-0.780205779235205,0.90359407485883,-2.39985483667655,-2.4866874245575,-1.64725574552903,0.73210795414666,-1.24657807720853,-1.71750778032251,-1.51279249991543,-0.833346712278536,-1.66277561514646
iran    ,-1.3509761465498,0.209583862254928,-1.08526721629074,-0.902932938032906,-1.5703384266274,-0.2074507531776,-1.17459555571433,-1.26440102098297,-0.574401930517235,-2.10279974136052,-1.20865028389891
israel  ,-0.464262109487561,-1.17072533836839,0.36756845885826,0.90871398455897,0.66987848638245,-1.9216177224657,0.85400277730394,0.49209788528972,3.92620175852186,-0.823372310627941,-0.695396569850432
italia  ,0.342689099474454,-1.42776615785132,0.57001277424787,-0.104891002511421,1.05446508089057,-1.20573187970962,-0.062138405349472,-0.823737371886963,-0.75507169037144,-0.511573348257653,-0.401581844116128
japon   ,1.65204253737944,-1.60255391509971,0.74864011135636,0.339994444302281,-0.474266632279235,-1.38189913733292,0.356668992434945,-0.24764843788718,-1.2429634573681,0.447268249416797,-0.183449013719824
libano  ,1.0615904332609,-0.561538596193854,-0.561293694105852,0.307889308965209,-0.772321243023035,-1.20573187970962,0.63151134723097,-0.664692945732116,-0.157904355301176,-2.18851974710888,-1.15883307405238
marrueco,-1.13551292259075,0.83162264540361,-1.5139728253511,-1.41067587464599,-1.60879708607821,0.20812329044659,-1.26620967397967,-0.05,-0.611958981697966,-1.90205612596942,-1.42754596768402
